iter	MAE	RMSE
0	0.6303018638	0.7750995976
1	0.6106694491	0.7519294475
2	0.5941165318	0.7326747623
3	0.5786779168	0.7145161772
4	0.5651243653	0.6990812911
5	0.5542322521	0.6863610152
6	0.5452213636	0.67608014
7	0.5360020578	0.6656613843
8	0.5282887314	0.6571742425
9	0.5214609032	0.6495032279
10	0.5157225247	0.6433733206
11	0.5105018964	0.6378315872
12	0.5055164109	0.6326375783
13	0.5011161677	0.6278390667
14	0.4969734916	0.623484979
15	0.493468386	0.619880114
16	0.4899370621	0.6162774458
17	0.4867880324	0.6127340077
18	0.4843790801	0.6101054583
19	0.4817801643	0.6073486351
20	0.4796014344	0.6049663691
21	0.477197383	0.6023927912
22	0.4749480435	0.6000144333
23	0.4729563268	0.597858678
24	0.4712079323	0.5959663558
25	0.4697970708	0.5944945255
26	0.4683096399	0.5928533446
27	0.4663806114	0.590767887
28	0.4643849475	0.5886891546
29	0.463013742	0.587339676
30	0.4618781177	0.5861899752
31	0.4607564214	0.5850482664
32	0.4593415796	0.5835754527
33	0.4581589276	0.5823442411
34	0.4569884404	0.5811050383
35	0.4561200266	0.5800942137
36	0.4552473038	0.579156723
37	0.4543989898	0.5782706901
38	0.45344863	0.5773500199
39	0.4524305061	0.576289793
40	0.4515962529	0.5753367269
41	0.4509041281	0.5746235826
42	0.4503388311	0.574000676
43	0.4498363857	0.5734041055
44	0.4491157596	0.5727101595
45	0.4484618187	0.5719627344
46	0.4478593303	0.5712884006
47	0.4472995564	0.5706374788
48	0.446557862	0.5699074472
49	0.4459536749	0.5693327104
50	0.4452358902	0.5686388077
51	0.4448359218	0.5682285249
52	0.4443468929	0.5677150844
53	0.4438675455	0.5671996852
54	0.4434827107	0.5667175998
55	0.4431645112	0.5663187217
56	0.442719869	0.565923195
57	0.4423596377	0.5655682373
58	0.4419315591	0.5651238963
59	0.4417028042	0.5648444147
60	0.4413671619	0.5644905653
61	0.4410050373	0.5640109803
62	0.440731551	0.5637134434
63	0.4404282174	0.5633869303
64	0.4400494524	0.5630353228
65	0.4397598038	0.5627212183
66	0.4394771874	0.5624125006
67	0.4392145874	0.5621035961
68	0.4389202712	0.5617940347
69	0.4386909213	0.5615563895
70	0.4384358985	0.5612926525
71	0.4381628423	0.5609962264
72	0.4379440584	0.5607433134
73	0.4376064182	0.5604030121
74	0.4373019227	0.5600723859
75	0.4370729378	0.5598169064
76	0.4367918549	0.5594863952
77	0.4365821501	0.5592325988
78	0.4363528534	0.5589835261
79	0.436139635	0.5587843959
80	0.4359534572	0.5585777994
81	0.4357967728	0.5583827071
82	0.4355673529	0.5581117096
83	0.4353674018	0.5578917974
84	0.4350497152	0.5574923407
85	0.4348409476	0.5572636262
86	0.4345842868	0.5570006898
87	0.4344137595	0.5568109743
88	0.4341396558	0.5565492428
89	0.4339893302	0.556364988
90	0.4337956574	0.5561002824
91	0.4336661064	0.5559552786
92	0.433490952	0.555791733
93	0.433358772	0.5556506893
94	0.4332246812	0.5554816734
95	0.4329649293	0.5552263411
96	0.4328009998	0.5549816728
97	0.4326093233	0.5547707664
98	0.4324736608	0.5546022481
99	0.4323361258	0.5544201136
