iter	Passed	Remaining
0	62	6159
1	77	3795
2	95	3074
3	111	2668
4	129	2458
5	147	2313
6	176	2350
7	196	2258
8	210	2126
9	225	2028
10	239	1940
11	256	1879
12	279	1867
13	297	1828
14	312	1770
15	328	1722
16	341	1666
17	355	1617
18	370	1577
19	383	1534
20	399	1502
21	414	1467
22	428	1435
23	442	1401
24	456	1368
25	470	1338
26	494	1335
27	512	1318
28	529	1296
29	544	1269
30	558	1242
31	572	1216
32	589	1196
33	604	1173
34	623	1158
35	639	1136
36	656	1117
37	670	1093
38	683	1068
39	700	1051
40	722	1039
41	736	1016
42	750	995
43	767	976
44	782	956
45	800	939
46	818	922
47	834	903
48	848	883
49	861	861
50	876	841
51	891	822
52	908	805
53	927	790
54	946	774
55	961	755
56	974	734
57	992	718
58	1006	699
59	1018	679
60	1033	660
61	1045	640
62	1060	622
63	1074	604
64	1092	588
65	1109	571
66	1128	555
67	1150	541
68	1169	525
69	1183	507
70	1198	489
71	1215	472
72	1229	454
73	1243	437
74	1256	418
75	1272	401
76	1288	384
77	1304	367
78	1323	351
79	1341	335
80	1356	318
81	1370	300
82	1388	284
83	1402	267
84	1417	250
85	1431	233
86	1447	216
87	1460	199
88	1483	183
89	1505	167
90	1531	151
91	1559	135
92	1590	119
93	1624	103
94	1650	86
95	1679	69
96	1710	52
97	1730	35
98	1746	17
99	1766	0
